State,Infected,Deaths,Population,Pop Density,Sex Ratio,Smoking Rate,Age 65+,Income,Urban,GDP,Unemployment,Physicians,Hospital Beds,Flu Deaths,Respiratory Deaths,Health Spending,Major Airports,Public Transportation,Temperature,Pollution
Alaska,708,12,734002,1.2863,1.0546875,21,0.12,59687,66,73205,5.8,3.28,2.2,12.1,35.3,11064,1,1.2,26.6,6.4
Alabama,28206,810,4908621,96.9221,0.930144515,20.9,0.17,42334,59,45219,2.7,2.42,3.1,21.4,58,7281,1,0.3,62.8,8.1
Arkansas,13928,208,3038999,58.403,0.956629909,22.3,0.17,42566,56.2,42454,3.5,2.29,3.2,18,61.7,7408,0,0.44,60.4,7.1
Arizona,43443,1271,7378494,64.955,0.966964722,15.6,0.18,43650,89.8,48055,4.5,2.79,1.9,12.4,41.2,6452,1,1.7,60.3,9.7
California,161099,5290,39937489,256.3727,0.975113261,11.3,0.14,62586,95,74205,3.9,2.97,1.8,15.6,30.9,7549,9,4.9,59.4,12.8
Colorado,29673,1631,5845526,56.4011,0.994849503,14.6,0.14,56846,86.2,63882,2.5,3.47,1.9,9.7,44,6804,1,2.8,45.1,6.7
Connecticut,45440,4226,3563077,735.8689,0.947106235,12.7,0.17,74561,88,76342,3.8,4.1,2,14.8,28.9,9859,1,4.4,49,7.2
District of Columbia,9903,527,720687,11814.541,0.888569787,14.3,0.12,47285,100,200277,5.2,2.18,4.4,11.2,19.6,11944,0,34.4,54.65,9.8
Delaware,10499,431,982895,504.3073,0.926193922,17,0.19,51449,83.3,77253,3.9,3.52,2.2,13.1,40.4,10254,0,2.2,55.3,8.3
Florida,85926,3154,21992985,410.1256,0.942213099,16.1,0.21,49417,91.2,48318,2.8,3.24,2.6,9.6,37,8076,7,1.7,70.7,7.4
Georgia,60912,2605,10736059,186.6719,0.927647742,17.5,0.14,45745,75.1,55832,3.1,2.43,2.4,14.5,45.7,6587,1,2,63.5,8.3
Hawaii,744,17,1412687,219.9419,0.954597867,12.8,0.19,54565,91.9,64096,2.7,3.36,1.9,24.5,19.6,7299,2,5.7,70,5.4
Iowa,24854,679,3179849,56.9284,0.972411113,17.1,0.17,48823,64,59977,2.8,2.13,3,15.7,43.8,8200,0,1,47.8,7.1
Idaho,3632,88,1826156,22.0969,1.002976899,14.3,0.16,43155,70.6,43430,2.7,1.21,1.9,11.9,44.1,6927,0,0.8,44.4,6.8
Illinois,135639,6718,12659682,228.0243,0.955037547,15.5,0.15,56933,88.5,67268,3.4,3.36,2.5,16.3,36.2,8262,2,9.4,51.8,9.3
Indiana,41438,2491,6745354,188.281,0.960335043,21.8,0.16,46646,72.4,55172,3.1,2.39,2.7,14,57.2,8300,1,0.9,51.7,8.4
Kansas,11681,247,2910357,35.5968,0.981921778,17.4,0.16,50155,74.2,56334,3.1,2.6,3.3,17.1,50.4,7651,0,0.5,54.3,7
Kentucky,13197,520,4499692,113.9566,0.963484683,24.6,0.16,41779,58.4,46898,4.2,2.35,3.2,18.3,62.1,8004,1,1,55.6,8.1
Louisiana,48634,3062,4645184,107.5175,0.93128083,23.1,0.15,45542,73.2,53589,5.2,3.15,3.3,15.6,43.1,7815,1,1.2,66.4,7.9
Massachusetts,106422,7770,6976597,894.4355,0.943661558,13.7,0.17,70073,92,82480,2.8,4.72,2.3,15.8,30.9,10559,1,10.2,47.9,6.3
Maryland,63229,3016,6083116,626.6731,0.929378254,13.8,0.15,62914,87.2,68573,3.3,4.12,1.9,13.6,31,8602,1,7.9,54.2,7.7
Maine,2878,102,1345790,43.6336,0.957837675,17.3,0.21,48241,38.7,47969,3.2,2.79,2.5,15.3,45.6,9531,0,0.6,41,5.9
Michigan,66798,6061,10045029,177.6655,0.958849727,19.3,0.17,47582,74.6,53209,3.6,3.85,2.5,14.5,44.1,8055,1,1.4,44.4,8
Minnesota,31675,1376,5700671,71.5922,0.983828082,14.5,0.16,56374,73.3,64675,3.1,4.06,2.5,10,34,8871,1,3.5,41.2,6.6
Missouri,16908,946,6169270,89.7453,0.951712317,20.8,0.17,46635,70.4,51699,3.5,2.83,3.1,18.7,50.2,8107,2,1.3,54.6,7.5
Mississippi,20641,938,2989260,63.7056,0.924026147,22.2,0.16,37994,49.4,37948,5.4,1.67,4,26.1,59.9,7646,0,0.3,63.4,7.7
Montana,655,20,1086759,7.4668,0.983896003,17.2,0.19,47120,55.9,46609,3.5,2.53,3.3,10.7,47,8221,0,0.8,42.7,6.6
North Carolina,48188,1175,10611862,218.2702,0.928473124,17.2,0.16,45834,66.1,54441,3.6,3.09,2.1,16.9,42.6,7264,2,1,59,7.2
North Dakota,3193,81,761723,11.0393,1.041619798,18.3,0.15,54306,59.9,72597,2.2,2.63,4.3,15.6,34.9,9851,0,0.7,40.4,4.6
Nebraska,17226,234,1952570,25.4161,0.99239177,15.4,0.16,52110,73.1,63942,2.9,2.06,3.6,16.1,47.7,8412,1,0.6,48.8,7.1
New Hampshire,5436,330,1371246,153.1605,0.983937586,15.7,0.18,61405,60.3,63067,2.6,3.47,2.1,14.3,40.9,9589,0,0.9,43.8,4.4
